createdAt,id,lang,text
Thu Mar 29 11:30:24 KST 2018,979183966866489344,ko,@JinHan_Ray_ 우왓 정말이네?! 레이쨩에게도 어울리네! 날씨도 춥지 않으니 괜찮네~!
Thu Mar 29 11:30:17 KST 2018,979183934830342144,ko,RT @mysticRFA_ZEN: 이걸 입고 나가기엔 아직 좀 더운날씨긴 하네; https://t.co/lR2rR2Dtdf
Thu Mar 29 11:30:15 KST 2018,979183928375263232,ko,RT @ssg0210: 러비들에게 늘 봄같은 주현이💕 날씨가 따뜻해진만큼 마음도 따뜻한 하루가 되었으면 좋겠어 즐겁고 행복한 하루 보내고 콘서트 잘 하구 와 늘 응원해!! #HappyIreneDay #레드벨벳 #아이린 #배주현 #아이린하세요 http…
Thu Mar 29 11:30:13 KST 2018,979183920779423744,ko,RT @BTS_twt: 날씨좋다 #디스패치화보 #🐯❤️ https://t.co/czx4u4nUN7
Thu Mar 29 11:30:13 KST 2018,979183919147855872,ko,날씨가 너무 좋아! 하려고 했는데 뿌옇네?ㅠ
Thu Mar 29 11:30:12 KST 2018,979183915238703104,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:30:12 KST 2018,979183914714464257,ko,저번주 목요일에는 눈 오고 엄청 추웠는데 오늘은 꽃도 피고 날씨도 엄청 따뜻하네 ㅠ 한 달에 사계절 다 있어 
Thu Mar 29 11:30:02 KST 2018,979183874419785728,ko,@Baekho__721 이런날씨에 비염이면 ㅠㅠ 복근생길때까지 해야되는거 아닙니까ㅠㅠㅠㅠㅠ 흑.
Thu Mar 29 11:29:52 KST 2018,979183832845860864,ko,RT @mysticRFA_ZEN: 앨범 보다가 찾았는데 수중씬 찍은게 있더라구 이런 날씨엔 수중씬은 커녕 노출씬도 힘들지만 ^^; 어때?  #수상한메신저 #Mysticmessenger https://t.co/bbTOex0boU
Thu Mar 29 11:29:46 KST 2018,979183808300793856,ko,날씨 진짜좋다
Thu Mar 29 11:29:39 KST 2018,979183776784728064,ko,RT @Saniwa_writer: 18살 미카즈키가 뻐렁친닼ㅋㅋㅋㅋㅋㅋㅋ 우아하게 앉아서 어머님 오늘은 날씨도 좋은데 같이 말을 타고 나가지 않으시렵니까 어머님이 잘하시는 계란말이를 싸 가지고 볕이 잘 드는 곳에서 함께 먹고 싶군요 하고 방긋 웃으면…
Thu Mar 29 11:29:32 KST 2018,979183747370110977,ko,와 날씨 개더워 미쳤어
Thu Mar 29 11:29:27 KST 2018,979183727757508608,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:29:21 KST 2018,979183700154843136,ko,오사카 그래두 날씨 저아용 https://t.co/Ylmxh4awmR
Thu Mar 29 11:29:17 KST 2018,979183685797691392,ko,[날씨] 구름 많고 곳곳 비…전국 대부분 미세먼지 ˙나쁨˙ (출처 : SBS 뉴스 | 네이버 뉴스) https://t.co/Xva7jKYNsO
Thu Mar 29 11:29:03 KST 2018,979183627467603968,ko,날씨가 추워지면 멍청이랑 같이 잔다. 그 편이 따뜻하니까.
Thu Mar 29 11:28:49 KST 2018,979183568529235968,ko,날씨알려주는 돌맹이. 마지막 태풍에서 터졌네요 여기가 아마 제주도에 있는 거라죠 https://t.co/Kf1NaYwgar
Thu Mar 29 11:28:41 KST 2018,979183534710644736,ko,RT @BTS_twt: 여러분 모해여? 오늘같이 햇빛이 쨍쨍한 날씨 제이홉은 랩몬따라하는중 @-@ 오예 선글라스 http://t.co/AbZIcxVyKa
Thu Mar 29 11:28:28 KST 2018,979183477416329217,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
